id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3S7A85bAWOd6ltk6r2ANOI,You Are My High,DJ Snake,80,2021-07-28,0.503,0.783,0,-4.761,0,0.0221,0.00223,0.14,0.213,125.122,180480,4
5svL1PkWw8hPEAOdTNLexy,Paralyzed,Sueco,78,2021-08-13,0.587,0.847,0,-5.273,0,0.00126,2.29e-06,0.111,0.376,149.954,162805,4
3DICBZOMaEWbCxwUfPGcE5,Everywhereigo,Babyxsosa,73,2019-01-29,0.892,0.384,11,-12.975,0,0.0569,7.64e-05,0.105,0.512,140.091,135471,4
6FUYkl8t6gKFT59NpQWuhr,Mix It,MoneyMarr,52,2020-12-18,0.812,0.586,8,-7.625,1,0.0232,0.0,0.164,0.23,153.094,119376,4
44xO8889yUQHn70P73NILS,Believe Me,Navos,78,2021-01-22,0.629,0.876,5,-5.572,0,0.129,1.39e-06,0.29,0.645,124.999,188260,4
5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),Tems,77,2020-10-29,0.849,0.707,0,-6.002,1,0.0266,8.58e-06,0.618,0.602,104.027,248040,4
1v6svH1Fyx9C1nIt1mA2DT,All I Want,Olivia Rodrigo,73,2020-01-10,0.376,0.43,0,-6.585,0,0.0902,0.0,0.0912,0.129,77.599,177323,3
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),Justin Bieber,97,2021-07-09,0.591,0.764,1,-5.484,1,0.0383,0.0,0.103,0.478,169.928,141806,4
1v3Ozpbcx2B926aVW0UuXk,A-O-K,Tai Verdes,69,2021-05-06,0.731,0.626,11,-6.919,1,0.125,0.0,0.183,0.862,82.488,173640,4
17lzuZ03enjlAQ8RHBx3aN,Ocean Prime (feat. Coi Leray),Bfb Da Packman,61,2021-06-25,0.838,0.619,10,-8.761,0,0.106,0.0,0.371,0.568,103.552,150048,4
0LThjFY2iTtNdd4wviwVV2,Permission to Dance,BTS,85,2021-07-09,0.702,0.741,9,-5.33,1,0.00544,0.0,0.337,0.646,124.925,187585,4
4wzUmBC4ZrF92IE1hPCTJp,The Hustle - Original Mix,Van McCoy,54,1975-01-01,0.637,0.624,0,-17.81,1,0.0401,0.51,0.0627,0.747,110.278,253684,4
7sq2z9oX2S0CvgTqCZ0ko4,Strange,Celeste,76,2021-01-29,0.286,0.0847,2,-9.883,1,0.934,6.94e-06,0.121,0.112,70.743,255987,4
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Jack Harlow,96,2021-07-23,0.736,0.704,3,-7.409,0,0.0203,0.0,0.0501,0.894,149.995,212000,4
0KVkS8KCIuC06BxJhI9Glr,What's Da Jwett,WizDaWizard,52,2021-06-08,0.903,0.5,9,-9.728,1,0.0394,1.91e-06,0.185,0.307,100.0,143986,4
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Doja Cat,93,2021-06-25,0.664,0.609,1,-6.509,1,0.304,0.0,0.0926,0.194,130.041,210560,4
0Fs9cdPDhptWEDJmiCbkEW,She Knows (feat. Amber Coffman & Cults),Amber Coffman,84,2013-06-18,0.766,0.74,1,-10.363,1,0.0193,0.0784,0.229,0.183,118.008,296520,4
2lDODk7inZnmUHbIjUnIwP,Running Away,Samuel T. Herring,69,2021-06-21,0.616,0.694,7,-10.898,1,0.664,0.858,0.145,0.732,93.298,111787,4
2CVChktEKBsM6v4IfdFU5k,double take,dhruv,80,2019-05-24,0.654,0.434,8,-11.163,1,0.837,0.0,0.216,0.223,109.069,171743,4
7uWdDOhI3wydISWM1AXN0M,My Potna Dem,$ilkMoney,75,2019-12-15,0.737,0.526,0,-13.669,0,0.101,0.0,0.085,0.074,130.028,153337,4
5gbszghyfBJXqS9YxJmoQo,The Magic Bomb (Questions I Get Asked) - Extended Mix,Hoàng Read,57,2021-04-20,0.736,0.904,7,-6.855,1,0.149,0.708,0.442,0.236,142.009,331268,4
7DNp5wliOrg01iwvUnL3Tn,I'm A Survivor,Reba McEntire,56,2001-10-23,0.571,0.617,2,-5.032,1,0.328,0.0,0.115,0.574,88.154,187373,4
3Q872ol7VFg088SkbxSuqO,Psycho (feat. Rubi Rose),Rubi Rose,63,2021-07-23,0.874,0.563,11,-6.585,0,0.0427,0.0,0.196,0.781,101.918,150760,4
4lGOHDJr4PvUguwpMxjzlu,FVN!,LVL1,52,2021-05-14,0.731,0.724,0,-7.962,0,0.0807,9.04e-05,0.0328,0.644,134.006,190753,4
5InOp6q2vvx0fShv3bzFLZ,Know Yourself,Drake,71,2015-02-12,0.72,0.412,11,-8.687,0,0.196,0.0,0.342,0.179,114.408,275840,4
4RlEfpp0p8TzRwseTUA4fp,Opportunity,Quvenzhané Wallis,53,2014-11-17,0.32,0.295,7,-7.081,0,0.857,0.0,0.0828,0.16,119.802,186147,5
08hB2ERJV6A1Ntu3OHgzjh,FMRN,Lilyisthatyou,56,2021-07-02,0.735,0.586,8,-7.777,1,0.382,0.0,0.101,0.83,89.951,122655,4
1iAWDVZem3Vx3Pb8fTUTEL,Rick & Morty,Soulja Boy,69,2021-06-14,0.932,0.444,4,-10.022,0,0.483,0.0,0.354,0.428,101.011,152137,4
5zNW5ARjYhJQJz1AChP33n,Thot Shit,Megan Thee Stallion,81,2021-06-11,0.95,0.693,9,-3.424,1,0.0133,0.0,0.173,0.891,130.02,184635,4
3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,94,2017-12-08,0.714,0.8,11,-4.808,0,0.127,0.0,0.359,0.589,134.002,211560,4
6yuraIBlY8JGTVSwt2QSoB,Addicted,Gucci Mane,55,2016-10-14,0.804,0.753,10,-5.807,0,0.201,0.0,0.643,0.775,134.0,191893,4
0cu0rhnlCnJ7JIeHRiLpj3,Ball If I Want To,DaBaby,79,2021-06-18,0.902,0.669,1,-5.049,1,0.161,0.0,0.0728,0.628,139.949,112547,4
3ZozFqJJlDBNIm4xqxn2ZD,Fancy Like,Walker Hayes,82,2021-06-04,0.649,0.76,1,-6.487,1,0.114,0.0,0.317,0.843,80.018,161853,4
3KdoeNlEN0BoAKWzaRLNZa,Solar Power,Lorde,50,2021-06-10,0.735,0.47,4,-9.405,1,0.266,0.000105,0.32,0.897,87.971,192621,4
6T3sH1EuBMijU1MHe2WFJt,in heat.,Hentai Xander,73,2021-01-29,0.568,0.301,1,-8.544,1,0.501,0.0,0.0813,0.329,128.059,116377,4
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne,77,2002-06-04,0.487,0.9,0,-4.417,1,6.79e-05,0.0,0.358,0.484,149.937,204000,4
6bTn1ovliI0OkjUNkiMBJq,Nobody,Mitski,52,2018-08-17,0.398,0.716,0,-5.254,1,0.0764,0.0,0.0848,0.494,117.295,193429,4
6PQ88X9TkUIAUIZJHW2upE,Bad Habits,Ed Sheeran,95,2021-06-25,0.808,0.897,11,-3.712,0,0.0469,3.14e-05,0.364,0.591,126.026,231041,4
7GLqR9ToJLb0PV3XyNAWNm,MMM MMM (feat. ATL Jacob),ATL Jacob,68,2021-06-28,0.85,0.444,9,-8.69,1,0.134,0.0,0.113,0.187,86.533,137341,4
3ggtU1ZOKO8ZNiqPNyXGcm,Dinero,Trinidad Cardona,80,2018-02-02,0.708,0.782,2,-4.687,1,0.00772,0.0,0.107,0.484,119.997,160880,4
5fO4ybFbomoSWPB3n2d6pe,Hell Shell,Young Nudy,78,2017-09-13,0.853,0.514,0,-5.445,0,0.000909,0.0222,0.185,0.679,129.963,162527,4
1GLcGInllpE4JUTStzaCOM,My X,Rae Sremmurd,61,2015-01-06,0.813,0.596,2,-3.938,1,0.00104,0.0,0.176,0.177,130.048,214000,4
1Oi2zpmL81Q0yScF1zxaC0,"Bills, Bills, Bills",Destiny's Child,77,1999-07-27,0.845,0.576,11,-5.15,0,0.139,0.0,0.0764,0.461,127.641,256027,4
51Grh1RyUDcMBbpuyUIUHI,rises the moon,Liana Flores,76,2019-04-10,0.483,0.129,5,-20.149,0,0.947,0.145,0.106,0.203,137.35,161929,3
5fSZXFOZfPVW9gvnnG4ZVW,Punk Monk,Playboi Carti,65,2020-12-25,0.699,0.408,10,-7.916,0,0.0145,0.00155,0.123,0.139,76.444,229700,4
2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo,87,2021-05-21,0.395,0.443,6,-9.72,1,0.765,9.67e-06,0.0839,0.338,168.924,175933,3
4eOymg22XI5PrPr7BkPQiW,Into The Thick Of It!,The Backyardigans,60,2005-07-12,0.703,0.0828,7,-14.178,1,0.825,1.24e-05,0.13,0.57,125.879,158853,4
0QsZ3W21xNvnUnUMbiAY4z,spy?,WHOKILLEDXIX,74,2020-12-11,0.87,0.565,11,-5.356,0,0.0631,0.0579,0.104,0.646,100.041,153922,4
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,Ne-Yo,81,2014-11-21,0.721,0.802,1,-5.797,1,0.0921,0.0,0.694,0.724,124.022,229360,4
2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,92,2021-06-04,0.644,0.648,1,-4.601,1,0.276,0.0,0.135,0.44,179.951,206710,4
2wA7vCrfQb4IJnSMj9fHtZ,Touch Down 2 Cause Hell,Hd4president,5,2021-04-22,0.85,0.817,1,-4.266,1,0.00123,0.0,0.0921,0.665,168.972,164754,4
2wpnNoSCY3FvQ0vk6R2ouR,Secret Agent,The Backyardigans,41,2005-07-12,0.687,0.106,2,-13.533,0,0.761,0.0,0.235,0.658,70.604,75227,3
52KEmudjXXMXbAJgoumeO5,One Mo Chance (with Lil Durk),Lil Durk,25,2019-12-11,0.779,0.569,1,-7.619,1,0.0388,0.0,0.167,0.312,143.945,179775,4
1QL7nSDZCwZMnbisV4KOXt,t r a n s p a r e n t s o u l feat. Travis Barker,Travis Barker,78,2021-04-27,0.39,0.83,11,-5.201,0,0.0021,0.0,0.156,0.191,90.021,168030,4
3tHm0NnzLiQsaMUkJNcAij,Hello Baby feat. Fivio Foreign,Fivio Foreign,59,2021-05-07,0.893,0.537,7,-6.822,0,0.211,0.0,0.0599,0.588,140.038,178562,4
3VqeTFIvhxu3DIe4eZVzGq,Butter,BTS,41,2021-05-21,0.759,0.459,8,-5.187,1,0.00323,0.0,0.0906,0.695,109.997,164442,4
4fSIb4hdOQ151TILNsSEaF,Todo De Ti,Rauw Alejandro,88,2021-05-20,0.78,0.718,3,-3.605,0,0.31,0.000163,0.0932,0.342,127.949,199604,4
6PERP62TejQjgHu81OHxgM,good 4 u,Olivia Rodrigo,45,2021-05-14,0.556,0.661,6,-5.052,0,0.3,0.0,0.101,0.668,168.56,178148,4
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,82,2021-05-14,0.855,0.463,3,-7.454,1,0.217,1.77e-05,0.347,0.866,102.931,122773,4
3QqYZWQLn0evKMIRlGJeeR,Bundles (feat. Taylor Girlz),Taylor Girlz,73,2021-05-05,0.939,0.682,11,-5.931,1,0.00152,0.0,0.0552,0.584,130.022,154806,4
22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,Disciples,76,2015-07-17,0.738,0.868,11,-4.373,0,0.0392,0.00169,0.388,0.336,122.003,212640,4
3ScW1jntobO4OfLub6I0sj,Did It On’em,Nicki Minaj,51,2010-11-22,0.557,0.413,9,-7.032,0,0.0415,0.0,0.203,0.477,155.749,212347,4
66vs64VphiHrtFcLR6Qeav,Talkin' Bout (feat. Saweetie),Saweetie,63,2021-04-16,0.885,0.466,1,-6.128,1,0.0396,0.0,0.127,0.272,75.014,126225,4
