id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2tnVG71enUj33Ic2nFN6kZ,Ride It,['Regard'],83,2019-07-26,0.88,0.751,7,-4.258,0,0.177,6.43e-05,0.106,0.884,117.948,157606,4
6gBFPUFcJLzWGx4lenP6h2,goosebumps,['Travis Scott'],86,2016-09-16,0.841,0.728,7,-3.37,1,0.0847,0.0,0.149,0.43,130.049,243837,4
4NCsrTzgVfsDo8nWyP8PPc,RITMO (Bad Boys For Life),"['Black Eyed Peas', 'J Balvin']",45,2020-06-18,0.723,0.704,10,-7.088,0,0.0259,0.00109,0.792,0.684,105.095,214935,4
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",79,2020-04-24,0.716,0.537,0,-7.648,0,0.233,0.0,0.157,0.28,129.979,165978,4
2DEZmgHKAvm41k4J3R2E9Y,Safaera,"['Bad Bunny', 'Jowell & Randy', 'Ñengo Flow']",79,2020-02-29,0.607,0.829,2,-4.074,1,0.0103,0.0,0.107,0.685,96.172,295177,4
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"['Billie Eilish', 'Khalid']",87,2018-04-19,0.351,0.296,4,-10.109,0,0.934,0.0,0.095,0.12,115.284,200186,4
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,['Juice WRLD'],85,2018-12-10,0.511,0.566,6,-7.23,0,0.349,0.0,0.34,0.218,83.903,239836,4
4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",84,2020-05-08,0.597,0.45,8,-6.658,1,0.223,0.0,0.382,0.537,178.765,228482,3
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),"['JP Saxe', 'Julia Michaels']",81,2019-10-17,0.464,0.473,1,-10.086,1,0.866,0.0,0.109,0.604,75.801,208687,4
3AzjcOeAmA57TIOr9zF1ZW,Physical,['Dua Lipa'],76,2020-03-27,0.647,0.844,0,-3.756,1,0.0137,0.000658,0.102,0.746,146.967,193829,4
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,['Travis Scott'],84,2018-08-03,0.834,0.73,8,-3.714,1,0.00513,0.0,0.124,0.446,155.008,312820,4
