id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6PERP62TejQjgHu81OHxgM,good 4 u,['Olivia Rodrigo'],45,2021-05-14,0.556,0.661,6,-5.052,0,0.3,0.0,0.101,0.668,168.56,178148,4
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),['Lil Nas X'],87,2021-03-31,0.61,0.508,8,-6.682,0,0.297,0.0,0.384,0.758,178.818,137876,4
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",90,2021-03-19,0.677,0.696,0,-6.181,1,0.321,0.0,0.42,0.464,90.03,198082,4
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,['Adele'],100,2021-10-14,0.604,0.366,5,-7.519,1,0.578,0.0,0.133,0.13,141.981,224695,4
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",89,2021-04-09,0.762,0.701,8,-3.541,1,0.235,0.000158,0.123,0.742,110.968,208867,4
463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",84,2020-10-01,0.702,0.825,6,-3.787,0,0.00883,0.0,0.0674,0.915,102.977,203064,4
7lPN2DXiMsVn7XUKtOW1CS,drivers license,['Olivia Rodrigo'],40,2021-01-08,0.585,0.436,10,-8.761,1,0.721,1.31e-05,0.105,0.132,143.874,242014,4
3Wrjm47oTz2sjIgck11l5e,Beggin',['Måneskin'],94,2017-12-08,0.714,0.8,11,-4.808,0,0.127,0.0,0.359,0.589,134.002,211560,4
6Im9k8u9iIzKMrmV7BWtlF,34+35,['Ariana Grande'],84,2020-10-30,0.83,0.585,0,-6.476,1,0.237,0.0,0.248,0.485,109.978,173711,4
3VqeTFIvhxu3DIe4eZVzGq,Butter,['BTS'],41,2021-05-21,0.759,0.459,8,-5.187,1,0.00323,0.0,0.0906,0.695,109.997,164442,4
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",97,2021-07-09,0.591,0.764,1,-5.484,1,0.0383,0.0,0.103,0.478,169.928,141806,4
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),"['The Weeknd', 'Ariana Grande']",90,2021-04-23,0.65,0.825,0,-4.645,1,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",88,2021-03-05,0.586,0.616,5,-7.964,1,0.182,0.0,0.0927,0.719,148.088,242096,4
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,['Masked Wolf'],84,2021-01-06,0.778,0.695,4,-6.865,0,0.175,0.0,0.15,0.472,149.996,132780,4
